-, garden
ID38, ID35, ID35, ID35, ID35, ID35, ID35, ID35, ID39, ID23
ID19, ID19, ID19, ID23, ID23, ID11, ID23, ID19, ID19, ID19
ID19, ID19, ID12, ID23, ID11, ID11, ID23, ID19, ID19, ID19
ID19, ID19, ID19, ID23, ID11, ID11, ID23, ID12, ID19, ID19
ID23, ID23, ID23, ID23, ID11, ID11, ID23, ID23, ID23, ID23
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID11, ID23
ID23, ID23, ID23, ID23, ID11, ID11, ID23, ID23, ID23, ID23
ID19, ID12, ID19, ID23, ID11, ID11, ID23, ID19, ID19, ID19
ID19, ID12, ID19, ID23, ID11, ID11, ID23, ID12, ID19, ID19
ID19, ID19, ID19, ID23, ID23, ID11, ID23, ID19, ID19, ID19

-, lecturehall 1
ID23, ID23, ID23, ID23, ID18, ID18, ID23, ID23, ID23, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID23, ID44, ID44, ID44, ID44, ID44, ID44, ID23, ID23

-, hallway 3
ID23, ID19, ID19, ID19, ID19, ID19, ID12, ID19, ID19, ID23
ID23, ID30, ID35, ID35, ID35, ID35, ID35, ID35, ID39, ID23
ID23, ID19, ID19, ID19, ID19, ID19, ID19, ID12, ID13, ID18
ID23, ID12, ID19, ID19, ID19, ID13, ID13, ID13, ID13, ID23
ID23, ID19, ID19, ID19, ID13, ID13, ID19, ID19, ID19, ID23
ID23, ID19, ID19, ID12, ID13, ID19, ID19, ID19, ID19, ID23
ID23, ID19, ID19, ID13, ID13, ID19, ID19, ID19, ID19, ID23
ID18, ID13, ID13, ID13, ID19, ID19, ID19, ID19, ID19, ID23
ID23, ID30, ID35, ID35, ID35, ID35, ID35, ID35, ID39, ID23
ID23, ID12, ID19, ID19, ID19, ID19, ID19, ID19, ID12, ID23

-, lecturehall 2
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID18, ID23, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID18, ID23
ID23, ID23, ID44, ID44, ID44, ID44, ID44, ID44, ID23, ID23

-, toilet
ID23, ID23, ID23, ID23, ID23, ID14, ID23, ID23, ID23, ID23
ID23, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID23
ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID45, ID23
ID23, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID23
ID23, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID45, ID23
ID23, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID14, ID23
ID23, ID14, ID42, ID14, ID42, ID14, ID42, ID14, ID43, ID23
ID23, ID14, ID41, ID14, ID41, ID14, ID41, ID14, ID14, ID23
ID23, ID14, ID41, ID14, ID41, ID14, ID41, ID14, ID45, ID23
ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23, ID23
